123.0,7.0,95.0	148.0,7.0,95.0	173.0,7.0,91.0	198.0,7.0,67.0	223.0,7.0,50.0	249.0,8.0,50.0	273.0,7.0,39.0	298.0,7.0,60.0	323.0,7.0,88.0	348.0,7.0,95.0	373.0,7.0,95.0
123.0,32.0,95.0	148.0,32.0,95.0	173.0,32.0,91.0	198.0,32.0,64.0	223.0,32.0,49.0	248.0,32.0,46.0	273.0,32.0,38.0	298.0,32.0,54.0	323.0,32.0,83.0	348.0,32.0,95.0	373.0,32.0,95.0
123.0,57.0,95.0	148.0,57.0,95.0	173.0,57.0,86.0	198.0,57.0,57.0	223.0,57.0,46.0	248.0,56.0,39.0	273.0,57.0,32.0	298.0,57.0,49.0	323.0,57.0,79.0	348.0,57.0,95.0	373.0,57.0,95.0
123.0,82.0,95.0	148.0,82.0,95.0	173.0,82.0,85.0	198.0,82.0,54.0	223.0,82.0,42.0	248.0,82.0,37.0	273.0,82.0,32.999996	298.0,82.0,46.0	323.0,82.0,78.0	348.0,82.0,95.0	373.0,82.0,95.0
123.0,107.0,95.0	148.0,107.0,95.0	173.0,107.0,81.0	198.0,107.0,50.0	223.0,107.0,37.999992	248.0,106.0,38.999992	273.0,107.0,28.999989	298.0,107.0,41.999992	323.0,107.0,75.0	348.0,107.0,95.0	373.0,107.0,95.0
123.0,132.0,95.0	148.0,132.0,95.0	173.0,132.0,79.0	198.0,132.0,47.0	223.0,132.0,36.999996	248.0,132.0,36.999996	273.0,132.0,25.000004	298.0,132.0,41.0	323.0,132.0,72.0	348.0,132.0,95.0	373.0,132.0,95.0
123.0,157.0,95.0	148.0,157.0,95.0	173.0,157.0,75.0	198.0,157.0,47.0	223.0,157.0,36.0	248.0,157.0,31.0	273.0,157.0,22.999996	298.0,157.0,37.0	323.0,157.0,70.0	348.0,157.0,95.0	373.0,157.0,95.0
123.0,182.0,95.0	148.0,182.0,95.0	173.0,182.0,75.0	198.0,182.0,46.000008	223.0,182.0,33.0	248.0,182.0,32.0	273.0,182.0,23.000002	298.0,182.0,40.0	323.0,182.0,65.0	348.0,182.0,95.0	373.0,182.0,95.0
123.0,207.0,95.0	148.0,207.0,94.0	173.0,207.0,75.0	198.0,207.0,45.000008	223.0,207.0,32.000008	248.0,207.0,29.000006	273.0,207.0,23.000008	298.0,207.0,38.0	323.0,207.0,65.0	348.0,207.0,95.0	373.0,207.0,95.0
123.0,232.0,95.0	148.0,232.0,93.0	173.0,232.0,72.0	198.0,232.0,44.0	223.0,232.0,32.0	248.0,233.0,29.000002	273.0,232.0,22.000002	298.0,232.0,40.0	323.0,232.0,67.0	348.0,232.0,95.0	373.0,232.0,95.0
123.0,257.0,95.0	148.0,257.0,94.0	173.0,256.0,72.0	198.0,257.0,44.0	223.0,257.0,34.0	248.0,257.0,29.0	273.0,257.0,24.0	298.0,257.0,41.0	323.0,257.0,67.0	348.0,257.0,95.0	373.0,257.0,95.0
123.0,282.0,95.0	148.0,282.0,94.0	173.0,282.0,69.0	198.0,282.0,44.000004	223.0,282.0,35.0	248.0,282.0,29.0	273.0,282.0,29.0	298.0,282.0,37.999996	323.0,282.0,65.0	348.0,282.0,95.0	373.0,282.0,95.0
123.0,307.0,95.0	148.0,307.0,93.0	173.0,307.0,67.0	198.0,307.0,47.0	223.0,307.0,37.0	248.0,307.0,35.999992	273.0,307.0,28.999996	298.0,307.0,39.0	323.0,307.0,67.0	348.0,307.0,94.0	373.0,307.0,95.0
123.0,332.0,95.0	148.0,332.0,93.0	173.0,332.0,70.0	198.0,332.0,48.0	223.0,332.0,41.000004	248.0,332.0,38.999996	273.0,332.0,32.0	298.0,332.0,42.999996	323.0,332.0,67.0	348.0,332.0,94.0	373.0,332.0,95.0
123.0,357.0,95.0	148.0,357.0,96.0	173.0,357.0,78.0	198.0,357.0,50.0	223.0,357.0,46.0	248.0,357.0,44.0	273.0,357.0,36.0	298.0,357.0,44.999996	323.0,357.0,67.0	348.0,357.0,90.0	373.0,357.0,95.0
123.0,382.0,95.0	148.0,382.0,94.0	173.0,382.0,83.0	198.0,382.0,54.0	223.0,382.0,53.0	248.0,382.0,46.0	273.0,382.0,42.0	298.0,382.0,50.0	323.0,382.0,72.0	348.0,382.0,93.0	373.0,382.0,95.0
123.0,407.0,95.0	148.0,407.0,96.0	173.0,407.0,87.0	198.0,407.0,61.0	223.0,407.0,56.0	248.0,407.0,50.0	273.0,407.0,47.000004	298.0,407.0,52.0	323.0,407.0,76.0	348.0,407.0,92.0	373.0,407.0,95.0
123.0,432.0,95.0	148.0,432.0,96.0	173.0,432.0,94.0	198.0,432.0,68.0	223.0,432.0,63.0	248.0,432.0,53.0	273.0,432.0,54.0	298.0,432.0,59.0	323.0,432.0,80.0	348.0,432.0,93.0	373.0,432.0,95.0
123.0,457.0,95.0	148.0,457.0,95.0	173.0,457.0,94.0	198.0,457.0,78.0	223.0,457.0,73.0	248.0,457.0,65.0	273.0,457.0,67.0	298.0,457.0,69.0	323.0,457.0,86.0	348.0,457.0,94.0	373.0,457.0,95.0
123.0,482.0,95.0	148.0,482.0,95.0	173.0,482.0,95.0	198.0,482.0,90.0	223.0,482.0,85.0	248.0,482.0,77.0	273.0,482.0,77.0	298.0,482.0,83.0	323.0,482.0,92.0	348.0,482.0,95.0	373.0,482.0,95.0
123.0,507.0,95.0	148.0,507.0,95.0	173.0,507.0,95.0	198.0,507.0,94.0	223.0,507.0,88.0	248.0,507.0,87.0	273.0,507.0,90.0	298.0,507.0,91.0	323.0,507.0,94.0	348.0,507.0,95.0	373.0,507.0,95.0
